arsenic,cadmium,lead,mercury
0.019,0.009,0.015,0.0034215719886903926
0.039,0.013,0.035,0.0016746295405643732
0.019,0.00045901256840720793,0.006,0.023
0.0048466246096854565,0.002723957834575925,0.028,0.002727297379272956
0.069,0.043,0.048,0.0021112979891575205
0.024,0.012,0.005,0.009726181718770228
0.032,0.016,0.024,0.011
0.003183059562020855,0.0029185731440863113,0.005,0.009584809766685777
0.019,0.0025583543696527876,0.001579467899900605,0.0025948623580806214
0.012745134732822393,0.0016947201243051597,0.029,0.007569880033653839
0.088,0.015,0.069,0.00016685782089001554
0.021,0.002964119110696391,0.004,0.010276235401558247
0.012946996842619143,0.0018562623515181364,0.002813145480692293,0.0030383888096268455
0.0001609915747724955,0.002189193587115159,0.0011771340947092765,0.000651819501654536
0.014778893600075962,0.002033137152798536,0.000982772657757737,0.008155028985532695
0.01593372372745979,0.0037937377604222383,0.0002731021763651693,0.007597847844950069
0.158,0.058,0.368,0.014
0.085,0.0027901632694308687,0.057,0.003519709297502229
0.031,0.082,0.021,0.01045599493764434
0.039,0.012,0.046,0.004414372573046202
0.103,0.496,0.046,0.002168268199738246
0.327,0.181,0.208,0.005316688109690949
0.0031322524948993475,0.001038811663032714,0.0036192532290775263,0.009214955792347854
0.0039414613927857755,0.0021907503837233656,9.570982371336134e-05,0.0065704716408399085
0.011953341980945787,0.0005406210649736565,0.0036988674637455574,0.002305203699980916
0.0028728566083901282,0.0032006142428419684,0.0002364857774183551,0.006985203954943031
0.058,0.072,0.0006101468643909747,0.0030403437485165743
0.163,0.115,0.102,0.00044170964989581016
0.079,0.03,0.024,0.0029944399888295016
0.074,0.071,0.03,0.01073685320517546
0.06,0.0014791303721003054,0.062,0.003955617818855829
0.159,0.0014892237277570018,0.238,0.0062575644403097454
0.123,0.0018272240706548616,0.253,0.00011053914032202938
0.102,0.091,0.053,0.009977074544861811
0.014127719461252354,0.0020858613872366764,0.0021618188454291904,0.00573392385799961
0.004102073239090361,0.0008000693325093927,0.0032287373824934863,0.003673475549988205
0.007740243732946169,0.0010806119526365005,0.003184263480957035,0.00035344234979879093
0.0022795371342387,0.00022195986489930775,0.002131714869225602,0.001484153334760647
0.012341087798564281,0.0004354066427606185,0.003988659071497529,0.0055620049660167255
0.0011970632733401684,0.003352448276254268,0.001287553847734777,0.008050509926063017
6.980684843412278e-05,0.0011197774810267666,0.0014934930880540712,0.006438890484039848
0.069,0.614,0.026,0.0032502811983783995
0.008470257161876316,0.0012080730071558224,0.0037153288913738527,0.000893679701027076
0.008918717419928812,0.0011554150938150492,0.002832239760571007,0.009252626829427242
0.003155061756305294,0.00010257797005485348,0.053,0.006880898697255876
0.013816036562119454,0.0021847347349678494,0.0017388951576359716,0.000720742992210935
0.122,0.198,0.037,0.0022270437929437204
0.105,0.193,0.074,0.0009481678226305966
0.126,0.142,0.038,0.00910627964747251
0.093,0.184,0.029,0.008581523021345306
0.069,0.032,0.058,0.003149487725463003
0.271,0.135,0.844,0.00839948484790828
0.057,0.014,0.098,0.007343323638587277
0.045,0.211,0.029,0.005592618915032673
0.054,0.087,0.02,0.008393125801752738
0.048,0.109,0.028,0.008928754408428854
0.054,0.079,0.018,0.007403790957550894
0.052,0.184,0.028,0.010642185915825973
0.054,0.16,0.035,0.010383948126028369
0.056,0.138,0.03,0.0026849776562479525
0.046,0.112,0.024,0.0022705913277837673
0.101,0.102,0.102,0.0038189395314039702
0.087,0.16,0.07,0.009404282876103759
0.049,0.126,0.022,0.009547832288696899
0.06,0.157,0.04,0.005697632521717441
0.043,0.138,0.042,0.002684471763094958
